Date : 2021-04-20 14:08:31
Directory : c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\nodeback
Total : 73 files,  3399 codes, 696 comments, 738 blanks, all 4833 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         59 |      2,792 |        696 |        574 |      4,062 |
| Markdown   |          1 |        311 |          0 |        131 |        442 |
| YAML       |          6 |        150 |          0 |         18 |        168 |
| JSON       |          5 |        136 |          0 |          5 |        141 |
| Docker     |          1 |          8 |          0 |          8 |         16 |
| Ignore     |          1 |          2 |          0 |          2 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         73 |      3,399 |        696 |        738 |      4,833 |
| src                                                                                                                                     |         49 |      1,496 |        695 |        265 |      2,456 |
| src\config                                                                                                                              |          6 |        144 |          0 |         26 |        170 |
| src\controllers                                                                                                                         |          5 |        165 |          0 |         29 |        194 |
| src\docs                                                                                                                                |          2 |        106 |          0 |          9 |        115 |
| src\middlewares                                                                                                                         |          4 |         89 |          1 |         21 |        111 |
| src\models                                                                                                                              |          8 |        247 |         44 |         38 |        329 |
| src\models\plugins                                                                                                                      |          3 |         77 |         25 |         16 |        118 |
| src\routes                                                                                                                              |          6 |        110 |        507 |         38 |        655 |
| src\routes\v1                                                                                                                           |          6 |        110 |        507 |         38 |        655 |
| src\services                                                                                                                            |          7 |        308 |        124 |         44 |        476 |
| src\utils                                                                                                                               |          3 |         26 |          7 |          6 |         39 |
| src\validations                                                                                                                         |          6 |        228 |          0 |         32 |        260 |
| tests                                                                                                                                   |         10 |      1,374 |          1 |        314 |      1,689 |
| tests\fixtures                                                                                                                          |          2 |         52 |          0 |         10 |         62 |
| tests\integration                                                                                                                       |          3 |        993 |          0 |        236 |      1,229 |
| tests\unit                                                                                                                              |          4 |        315 |          1 |         63 |        379 |
| tests\unit\middlewares                                                                                                                  |          1 |        137 |          0 |         32 |        169 |
| tests\unit\models                                                                                                                       |          3 |        178 |          1 |         31 |        210 |
| tests\unit\models\plugins                                                                                                               |          2 |        129 |          1 |         22 |        152 |
| tests\utils                                                                                                                             |          1 |         14 |          0 |          5 |         19 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                | language   | code       | comment    | blank      | total      |
